noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date,text
0012 - Senior government managers and officials,,Yukon,0012,Senior government managers and officials,0,,,,2016,38.13,56.17,78.13,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>78.13<br><b>Median wage: </b>56.17<br><b>Min wage: </b>38.13<br>
0012 - Senior government managers and officials,,Northwest Territories,0012,Senior government managers and officials,0,,,,2016,41.51,60.32,86.0,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>86.0<br><b>Median wage: </b>60.32<br><b>Min wage: </b>41.51<br>
0012 - Senior government managers and officials,,Nunavut,0012,Senior government managers and officials,0,,,,2016,42.25,64.22,90.09,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>90.09<br><b>Median wage: </b>64.22<br><b>Min wage: </b>42.25<br>
"0013 - Senior managers - financial, communications and other business services",,Newfoundland and Labrador,0013,"Senior managers - financial, communications and other business services",0,,,,2016,41.21,56.0,86.54,56.27,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>86.54<br><b>Median wage: </b>56.0<br><b>Min wage: </b>41.21<br>
"0013 - Senior managers - financial, communications and other business services",,Newfoundland and Labrador,0013,"Senior managers - financial, communications and other business services",0,,,,2016,44.7,56.0,86.54,61.0,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>86.54<br><b>Median wage: </b>56.0<br><b>Min wage: </b>44.7<br>
"0013 - Senior managers - financial, communications and other business services",,Newfoundland and Labrador,0013,"Senior managers - financial, communications and other business services",0,,,,2016,32.45,52.46,76.51,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>76.51<br><b>Median wage: </b>52.46<br><b>Min wage: </b>32.45<br>
"0013 - Senior managers - financial, communications and other business services",,Nova Scotia,0013,"Senior managers - financial, communications and other business services",0,,,,2016,30.56,59.58,82.42,57.5,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>82.42<br><b>Median wage: </b>59.58<br><b>Min wage: </b>30.56<br>
"0013 - Senior managers - financial, communications and other business services",,New Brunswick,0013,"Senior managers - financial, communications and other business services",0,,,,2016,23.0,52.4,74.12,51.11,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>74.12<br><b>Median wage: </b>52.4<br><b>Min wage: </b>23.0<br>
"0013 - Senior managers - financial, communications and other business services",,Quebec,0013,"Senior managers - financial, communications and other business services",0,,,,2016,29.25,52.2,93.41,55.8,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>93.41<br><b>Median wage: </b>52.2<br><b>Min wage: </b>29.25<br>
"0013 - Senior managers - financial, communications and other business services",,Quebec,0013,"Senior managers - financial, communications and other business services",0,,,,2016,28.75,50.0,96.0,56.04,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>96.0<br><b>Median wage: </b>50.0<br><b>Min wage: </b>28.75<br>
